Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,labels
-58.057500000000005,-58.322500000000005,-61.0075,-60.583333333333336,-60.127500000000005,-60.8,-61.01,0
-61.887499999999996,-62.815,-66.7425,-63.90666666666666,-65.07499999999999,-65.62,-65.47999999999999,3
-63.45250000000001,-63.05499999999999,-65.6175,-65.16000000000001,-64.54750000000001,-65.8125,-65.46000000000001,3
-73.0225,-70.9875,-62.4925,-75.94999999999999,-69.87,-64.735,-67.88,1
-79.1925,-76.97749999999999,-63.015,-76.90666666666668,-72.23,-66.33250000000001,-69.36,2
-73.685,-71.2475,-66.14,-77.08333333333333,-69.95,-66.505,-68.06,2
-63.9625,-61.265,-56.285000000000004,-67.67666666666666,-58.625,-55.8225,-56.935,6
-53.852500000000006,-56.739999999999995,-60.377500000000005,-54.916666666666664,-58.995000000000005,-58.800000000000004,-58.35,0
-55.0475,-60.040000000000006,-63.660000000000004,-53.343333333333334,-62.3225,-62.169999999999995,-61.805,0
-57.322500000000005,-56.755,-58.285000000000004,-60.326666666666675,-57.475,-57.465,-57.635000000000005,0
-51.510000000000005,-53.85,-59.2725,-53.33666666666667,-55.0525,-58.405,-55.894999999999996,4
-73.0,-73.88,-63.6025,-74.67666666666666,-69.91000000000001,-65.74000000000001,-68.56,2
-55.1825,-54.394999999999996,-60.4425,-58.64666666666667,-56.475,-58.415,-57.42,0
-74.8425,-71.605,-74.26750000000001,-79.71666666666668,-70.915,-71.825,-70.69,2
-66.515,-63.302499999999995,-55.462500000000006,-68.80999999999999,-59.785000000000004,-55.1525,-56.75,1
-65.1675,-64.5975,-68.4975,-68.18666666666667,-65.495,-66.765,-65.97,3
-57.9925,-58.945,-61.89,-59.276666666666664,-59.905,-60.4075,-59.715,0
-50.6275,-53.915,-60.345,-51.626666666666665,-55.977500000000006,-60.1425,-57.33,4
-71.4825,-72.61999999999999,-74.40499999999999,-72.37,-73.4825,-73.6525,-73.30000000000001,5
-57.245,-55.737500000000004,-56.215,-59.80666666666667,-55.089999999999996,-53.92,-54.379999999999995,4
-57.400000000000006,-57.32,-59.975,-60.0,-58.42,-58.39750000000001,-58.29,0
-73.8125,-72.8575,-68.5575,-77.83666666666666,-72.86749999999999,-70.2675,-72.10499999999999,2
-63.3525,-61.835,-56.8125,-65.94666666666667,-59.7025,-56.192499999999995,-57.28,6
-55.66,-59.565000000000005,-62.035,-56.16333333333333,-60.2575,-61.89,-61.82,0
-54.3025,-54.11,-62.654999999999994,-58.71,-56.9275,-60.405,-58.96,0
-79.7925,-81.34,-82.4425,-79.53666666666668,-82.5575,-82.86,-83.44,7
-59.2825,-58.8875,-59.915,-62.48666666666667,-60.035,-59.7925,-60.285,0
-58.585,-58.51,-61.7,-60.086666666666666,-60.2,-61.8175,-61.535,0
-58.6875,-59.28,-59.9325,-60.75,-60.325,-58.81,-59.535,0
-59.775,-56.957499999999996,-55.84,-64.40666666666668,-55.474999999999994,-54.7,-54.86,6
-57.989999999999995,-57.37,-58.427499999999995,-61.32,-58.145,-58.0275,-58.43,0
-53.2875,-56.05,-62.61,-55.169999999999995,-58.574999999999996,-60.339999999999996,-58.629999999999995,0
-70.33,-68.2825,-82.2975,-73.12666666666667,-68.25999999999999,-74.25,-69.91499999999999,5
-59.504999999999995,-58.964999999999996,-61.67,-61.1,-60.082499999999996,-61.779999999999994,-61.375,0
-55.84,-57.08,-58.0,-57.79,-59.3475,-57.6725,-58.730000000000004,0
-72.625,-71.7175,-66.48499999999999,-76.24333333333333,-71.035,-67.725,-69.535,2
-77.6875,-76.1175,-70.54499999999999,-80.24333333333334,-74.98,-71.6125,-73.235,2
-56.697500000000005,-57.545,-63.11,-58.04666666666666,-60.512499999999996,-62.050000000000004,-62.045,0
-55.292500000000004,-58.667500000000004,-66.905,-55.17666666666667,-58.04,-59.0325,-56.945,0
-66.20500000000001,-68.295,-73.4125,-66.66333333333334,-70.595,-70.5175,-70.41499999999999,5
-57.35,-60.05,-63.175,-56.53,-61.870000000000005,-61.58,-61.455,0
-53.165,-57.22,-61.0875,-54.93666666666667,-57.1875,-60.8875,-60.065,0
-59.3825,-57.4225,-57.91,-63.22,-56.555,-56.095,-55.85,6
-79.64,-81.0925,-82.945,-79.99666666666667,-82.9175,-82.535,-82.75999999999999,7
-62.975,-61.835,-57.7625,-65.11333333333333,-59.637499999999996,-56.6725,-57.285,6
-60.7875,-61.2675,-64.1,-63.75333333333334,-64.185,-63.6625,-64.63499999999999,0
-53.44,-55.730000000000004,-62.144999999999996,-55.116666666666674,-58.24999999999999,-59.9925,-58.785,0
-50.79,-52.95,-59.285000000000004,-54.0,-54.835,-57.8,-56.394999999999996,4
-79.8,-81.34750000000001,-82.39500000000001,-79.54666666666667,-82.5925,-82.87,-83.49000000000001,7
-53.93000000000001,-56.8525,-60.31,-55.31,-57.72500000000001,-60.46249999999999,-58.555,0
-56.50750000000001,-59.185,-61.955,-57.080000000000005,-59.932500000000005,-60.6825,-59.894999999999996,0
-58.3,-58.63,-60.015,-62.13999999999999,-62.2725,-58.64750000000001,-60.94,0
-56.1225,-57.13,-58.96,-57.656666666666666,-58.9175,-57.9225,-58.455,0
-58.324999999999996,-58.525,-60.5825,-60.53333333333333,-59.5,-59.065000000000005,-59.075,0
-58.7225,-60.997499999999995,-61.480000000000004,-59.39000000000001,-60.8425,-62.00750000000001,-60.885,0
-79.795,-81.325,-82.435,-79.52666666666666,-82.47,-82.80000000000001,-83.34,7
